param Kdim := 2;
param n := 21;
param : E : c I :=
1 3 1 1
1 4 1 1
1 5 1 1
1 7 1 1
1 9 1 1
1 15 1 1
2 10 1 1
2 14 1 1
2 16 1 1
2 18 1 1
2 19 1 1
2 20 1 1
3 5 2 1
3 7 2 1
3 8 1 1
3 9 1 1
3 12 1 1
3 15 1 1
3 17 1 1
4 5 1 1
4 7 1 1
4 8 1 1
4 9 1 1
4 12 2 1
4 15 2 1
4 17 1 1
4 18 1 1
4 19 1 1
5 7 2 1
5 8 1 1
5 12 2 1
5 15 2 1
5 17 1 1
6 7 1 1
6 11 1 1
6 13 1 1
7 8 1 1
7 9 1 1
7 11 1 1
7 12 2 1
7 13 1 1
7 14 1 1
7 17 1 1
7 20 1 1
7 21 1 1
8 10 1 1
8 12 1 1
8 15 1 1
8 18 1 1
8 19 1 1
9 12 1 1
9 15 1 1
10 14 1 1
10 16 1 1
10 18 1 1
10 19 1 1
11 13 1 1
11 21 1 1
12 15 2 1
12 17 1 1
13 20 1 1
13 21 1 1
14 16 1 1
14 20 1 1
14 21 1 1
15 17 1 1
15 18 1 1
16 19 1 1
16 20 1 1
16 21 1 1
18 19 1 1
20 21 1 1
;
