param Kdim := 2;
param n := 26;
param : E : c I :=
1 4 1 1
1 6 1 1
1 11 1 1
1 12 1 1
1 15 1 1
1 21 1 1
2 3 1 1
2 14 1 1
2 17 1 1
2 18 1 1
2 23 1 1
2 24 1 1
3 13 1 1
3 14 1 1
3 17 1 1
3 25 1 1
3 26 1 1
4 6 1 1
4 11 1 1
4 12 1 1
4 15 1 1
4 16 1 1
5 9 1 1
5 13 1 1
5 20 1 1
5 25 1 1
5 26 1 1
6 7 1 1
6 10 1 1
6 15 1 1
6 16 1 1
6 19 1 1
6 21 1 1
6 22 1 1
7 8 1 1
7 18 1 1
7 21 1 1
7 22 1 1
7 23 1 1
8 18 1 1
8 21 1 1
8 22 1 1
8 23 1 1
8 24 1 1
9 13 1 1
9 20 1 1
10 12 1 1
10 16 1 1
10 19 1 1
11 12 1 1
11 15 1 1
11 16 1 1
11 19 1 1
12 16 1 1
12 19 1 1
13 20 1 1
13 25 1 1
13 26 1 1
14 17 1 1
14 23 1 1
14 24 1 1
14 25 1 1
15 21 1 1
15 22 1 1
16 19 1 1
17 24 1 1
17 25 1 1
17 26 1 1
18 22 1 1
18 23 1 1
18 24 1 1
20 26 1 1
21 22 1 1
23 24 1 1
25 26 1 1
;
