param Kdim := 2;
param n := 38;
param : E : c I :=
1 2 1 1
1 8 1 1
1 9 1 1
1 26 1 1
1 30 1 1
1 31 1 1
2 5 1 1
2 7 1 1
2 9 1 1
2 15 1 1
2 26 1 1
3 13 1 1
3 14 1 1
3 22 1 1
3 25 1 1
3 32 1 1
3 33 1 1
4 21 1 1
4 28 1 1
4 34 1 1
5 6 1 1
5 7 1 1
5 9 1 1
5 15 1 1
5 26 1 1
6 7 1 1
6 12 1 1
6 15 1 1
6 18 1 1
6 29 1 1
7 12 1 1
7 15 1 1
7 29 1 1
8 9 1 1
8 23 1 1
8 26 1 1
8 30 1 1
8 31 1 1
9 26 1 1
9 30 1 1
10 12 1 1
10 18 1 1
10 24 1 1
10 29 1 1
10 37 1 1
10 38 1 1
11 20 1 1
11 23 1 1
11 30 1 1
11 31 1 1
12 15 1 1
12 18 1 1
12 29 1 1
13 14 1 1
13 16 1 1
13 25 1 1
13 27 1 1
13 32 1 1
14 19 2 1
14 22 2 1
14 28 1 1
14 32 1 1
14 33 1 1
14 34 1 1
14 35 1 1
14 36 1 1
15 26 1 1
16 17 1 1
16 25 1 1
16 27 1 1
16 32 1 1
16 37 1 1
17 24 1 1
17 25 1 1
17 27 1 1
17 37 1 1
17 38 1 1
18 24 1 1
18 29 1 1
18 38 1 1
19 22 1 1
19 33 1 1
19 35 1 1
19 36 1 1
20 23 1 1
20 31 1 1
21 28 1 1
21 34 1 1
21 35 1 1
22 33 1 1
22 36 1 1
23 30 1 1
23 31 1 1
24 27 1 1
24 37 1 1
24 38 1 1
25 27 1 1
25 32 1 1
27 37 1 1
28 34 1 1
28 35 1 1
28 36 1 1
29 38 1 1
30 31 1 1
32 33 1 1
33 36 1 1
34 35 1 1
35 36 1 1
37 38 1 1
;
