param Kdim := 2;
param n := 24;
param : E : c I :=
1 14 1 1
1 15 1 1
1 16 1 1
1 17 1 1
1 22 1 1
1 23 1 1
2 4 1 1
2 5 1 1
2 7 1 1
2 12 1 1
2 19 1 1
2 20 1 1
3 7 1 1
3 8 1 1
3 9 1 1
4 5 1 1
4 11 1 1
4 12 1 1
4 19 1 1
4 20 1 1
5 8 1 1
5 11 1 1
5 12 1 1
5 18 1 1
6 7 1 1
6 13 1 1
6 14 1 1
6 18 1 1
6 21 1 1
6 22 1 1
7 8 1 1
7 9 1 1
7 13 1 1
7 18 2 1
7 19 1 1
7 20 1 1
8 9 1 1
8 11 1 1
8 18 1 1
9 11 1 1
9 18 1 1
10 15 1 1
10 23 1 1
10 24 1 1
11 12 1 1
11 18 1 1
12 18 1 1
12 19 1 1
13 18 1 1
13 20 1 1
13 21 1 1
13 22 1 1
14 16 1 1
14 17 1 1
14 21 1 1
14 22 1 1
15 16 1 1
15 17 1 1
15 23 1 1
15 24 1 1
16 17 1 1
16 21 1 1
16 22 1 1
17 23 1 1
17 24 1 1
18 19 1 1
18 20 1 1
18 21 1 1
19 20 1 1
21 22 1 1
23 24 1 1
;
