param Kdim := 2;
param n := 18;
param : E : c I :=
1 4 1 1
1 7 1 1
1 11 1 1
1 13 1 1
1 14 1 1
1 16 1 1
2 4 1 1
2 5 1 1
2 9 2 1
2 10 1 1
2 12 1 1
2 15 1 1
2 17 1 1
2 18 1 1
3 4 1 1
3 5 1 1
3 7 1 1
3 9 1 1
3 14 1 1
3 15 1 1
4 6 1 1
4 7 2 1
4 9 2 1
4 14 1 1
4 15 2 1
4 18 1 1
5 9 1 1
5 12 1 1
5 15 1 1
5 17 1 1
6 7 1 1
6 10 1 1
6 15 1 1
6 17 1 1
6 18 1 1
7 9 1 1
7 10 1 1
7 14 1 1
7 15 2 1
7 16 1 1
7 18 1 1
8 11 1 1
8 13 1 1
8 16 1 1
9 12 1 1
9 15 2 1
10 12 1 1
10 17 1 1
10 18 1 1
11 13 1 1
11 14 1 1
11 16 1 1
12 15 1 1
12 17 1 1
13 16 1 1
14 16 1 1
17 18 1 1
;
