param Kdim := 2;
param n := 27;
param : E : c I :=
1 18 1 1
1 20 1 1
1 23 1 1
1 24 1 1
1 25 1 1
1 27 1 1
2 3 1 1
2 13 1 1
2 20 1 1
2 23 1 1
2 26 1 1
2 27 1 1
3 13 1 1
3 19 1 1
3 20 1 1
3 23 1 1
3 26 1 1
4 8 1 1
4 12 1 1
4 14 1 1
4 17 1 1
4 19 1 1
4 21 1 1
5 7 1 1
5 15 1 1
5 16 1 1
5 22 1 1
6 9 1 1
6 10 1 1
6 11 1 1
6 18 1 1
6 24 1 1
7 8 1 1
7 15 1 1
7 16 1 1
7 22 1 1
8 12 1 1
8 15 1 1
8 21 1 1
8 22 1 1
9 10 1 1
9 11 1 1
10 11 1 1
10 18 1 1
11 18 1 1
11 24 1 1
11 25 1 1
12 15 1 1
12 17 1 1
12 21 1 1
12 22 1 1
13 14 1 1
13 19 1 1
13 23 1 1
13 26 1 1
14 17 1 1
14 19 1 1
14 21 1 1
14 26 1 1
15 16 1 1
15 22 1 1
17 19 1 1
17 21 1 1
17 26 1 1
18 24 1 1
18 25 1 1
19 26 1 1
20 23 1 1
20 25 1 1
20 27 1 1
21 22 1 1
23 27 1 1
24 25 1 1
24 27 1 1
25 27 1 1
;
