param Kdim := 2;
param n := 25;
param : E : c I :=
1 2 1 1
1 3 1 1
1 4 1 1
1 5 2 1
1 7 1 1
1 12 1 1
1 15 1 1
1 16 1 1
1 22 1 1
1 23 1 1
1 25 1 1
2 5 1 1
2 13 1 1
2 18 1 1
2 20 1 1
2 23 1 1
3 4 1 1
3 5 1 1
3 7 1 1
3 12 1 1
3 15 1 1
3 17 1 1
3 19 1 1
3 22 1 1
3 24 1 1
3 25 1 1
4 7 1 1
4 12 1 1
4 17 1 1
4 23 1 1
5 10 1 1
5 12 1 1
5 13 1 1
5 16 1 1
5 20 1 1
5 22 1 1
5 23 1 1
5 25 1 1
6 8 1 1
6 9 1 1
6 10 1 1
6 11 1 1
6 14 1 1
6 15 1 1
6 18 1 1
6 19 1 1
6 21 1 1
7 12 1 1
7 17 1 1
7 24 1 1
8 10 1 1
8 14 1 1
8 16 1 1
9 11 1 1
9 13 1 1
9 18 1 1
9 20 1 1
9 21 1 1
10 14 1 1
10 16 1 1
10 25 1 1
11 15 1 1
11 19 1 1
11 21 1 1
11 22 1 1
12 23 1 1
13 18 1 1
13 20 1 1
13 23 1 1
14 16 1 1
14 25 1 1
15 19 1 1
15 22 1 1
16 25 1 1
17 24 1 1
18 20 1 1
18 21 1 1
19 21 1 1
19 22 1 1
20 21 1 1
;
